ID_Client,Age,Genre_Prefere,Montant_Depense,Nb_Films_Vus,Temps_Visionnage_Minutes,Note_Moyenne,Frequence_Connexion_Jours,Niveau_Engagement,Type_Abonnement,Aime_Film
C0104,37.0,Romance,44.08,16,1978,4.1,1.7,Moyen,Premium,Oui
C0105,28.0,Comédie,7.32,16,2335,2.1,8.7,Moyen,Standard,Oui
C0106,26.0,Comédie,11.07,18,1618,4.4,2.9,Moyen,Gratuit,Oui
C0107,28.0,Comédie,32.69,19,2050,2.8,1.4,Moyen,Gratuit,Oui
C0108,74.0,Science-Fiction,59.22,15,1426,3.8,1.8,Moyen,Gratuit,Oui
C0109,16.0,Comédie,20.8,14,1181,5.0,9.4,Moyen,Standard,Oui
C0110,74.0,Comédie,23.81,15,1634,4.1,8.3,Moyen,Gratuit,Oui
C0111,68.0,Horreur,36.22,26,3077,4.5,1.5,Moyen,Standard,Oui
C0112,74.0,Drame,11.99,15,2203,2.6,6.8,Moyen,Standard,Oui
C0113,72.0,Horreur,1.72,13,1843,5.0,3.9,Moyen,Gratuit,Oui
C0114,15.0,Drame,1456.5,19,1985,3.8,2.0,Moyen,Gratuit,Oui
C0115,46.0,Comédie,582.17,27,3340,2.2,1.6,Moyen,Standard,Oui
C0116,72.0,Comédie,30.88,16,2310,3.7,1.9,Moyen,Gratuit,Oui
C0117,23.0,Drame,12.04,23,1860,3.9,2.9,Moyen,Premium,Oui
C0118,35.0,Horreur,24.69,17,1740,2.4,4.9,Moyen,Standard,Oui
C0119,66.0,Drame,13.98,19,1721,3.5,11.5,Moyen,Standard,Oui
C0120,22.0,Horreur,5.32,18,2467,3.9,3.4,Moyen,Standard,Oui
C0121,72.0,Action,1249.55,19,2639,3.3,1.7,Moyen,Gratuit,Oui
C0122,68.0,Horreur,23.7,21,1833,4.0,1.3,Moyen,Standard,Oui
C0123,74.0,Action,11.2,18,1704,3.3,3.3,Moyen,Gratuit,Oui
C0124,66.0,Science-Fiction,13.27,20,2775,3.5,5.4,Moyen,Gratuit,Oui
C0125,27.0,Romance,107.78,16,1570,4.6,10.2,Moyen,Gratuit,Oui
C0126,19.0,Comédie,32.63,11,1458,4.8,1.4,Moyen,Gratuit,Oui
C0127,49.0,Romance,103.23,19,1606,1.6,1.3,Moyen,Premium,Oui
C0128,47.0,Romance,35.09,8,1049,2.4,6.3,Faible,Gratuit,Non
C0129,39.0,Science-Fiction,48.51,11,1534,3.3,1.6,Moyen,Premium,Oui
C0130,36.0,Comédie,12.61,18,2260,1.7,4.6,Moyen,Premium,Oui
C0131,63.0,Horreur,36.6,21,3127,1.6,1.3,Moyen,Standard,Non
C0132,66.0,Science-Fiction,95.34,10,930,2.7,8.1,Moyen,Gratuit,Oui
C0133,29.0,Comédie,65.68,11,1568,2.0,3.9,Moyen,Standard,Oui
C0134,26.0,Action,53.31,18,2551,2.1,1.1,Moyen,Standard,Oui
C0135,48.0,Romance,42.86,16,1807,3.1,3.2,Moyen,Standard,Oui
C0136,40.0,Science-Fiction,26.27,13,1449,3.8,5.9,Moyen,Gratuit,Non
C0137,29.0,Action,11.22,9,863,2.5,6.1,Faible,Standard,Non
C0138,35.0,Horreur,74.36,22,1851,3.8,11.4,Moyen,Gratuit,Oui
C0139,60.0,Science-Fiction,27.55,16,1310,1.9,7.1,Moyen,Premium,Non
C0140,42.0,,13.41,14,1975,4.0,4.9,Moyen,Gratuit,Oui
C0141,,Action,53.29,14,1733,4.4,2.7,Moyen,Standard,Oui
C0142,35.0,Horreur,90.38,16,1316,1.7,16.6,Moyen,Gratuit,Non
C0143,68.0,Action,25.11,15,1910,2.3,8.7,Moyen,Premium,Oui
C0144,41.0,Action,24.98,22,16040,2.3,4.2,Moyen,Standard,Oui
C0145,28.0,Horreur,64.88,21,2324,2.9,1.2,Moyen,Gratuit,Non
C0146,31.0,Drame,139.19,23,3015,3.8,2.5,Moyen,Standard,Oui
C0147,42.0,Action,37.22,10,1058,3.0,8.0,Moyen,Gratuit,Oui
C0148,53.0,Horreur,19.85,17,2446,4.6,7.4,Moyen,Gratuit,Oui
C0149,30.0,Comédie,922.03,13,1079,3.5,3.1,Moyen,Standard,Oui
C0150,68.0,Science-Fiction,14.42,15,2100,3.0,2.9,Moyen,Standard,Oui
C0151,50.0,Comédie,12.31,14,16458,2.7,1.4,Moyen,Standard,Oui
C0152,19.0,Science-Fiction,14.5,28,3282,1.8,2.2,Moyen,Premium,Oui
C0153,20.0,Horreur,37.13,14,1930,2.5,17.2,Moyen,Gratuit,Oui
C0154,18.0,Action,92.67,15,1404,,3.1,Moyen,Gratuit,Non
C0155,65.0,Horreur,40.23,16,2265,3.5,5.8,Moyen,Gratuit,Oui
C0156,,Science-Fiction,40.45,14,17458,1.7,6.7,Moyen,Standard,Oui
C0157,65.0,Science-Fiction,13.33,17,1601,2.9,4.6,Moyen,Standard,Oui
C0158,28.0,Science-Fiction,45.23,12,1328,4.6,1.3,Moyen,Premium,Oui
C0159,60.0,Comédie,88.6,19,1918,4.3,2.6,Moyen,Gratuit,Non
C0160,,Comédie,55.78,11,1387,4.5,5.8,Moyen,Gratuit,Oui
C0161,18.0,Romance,48.52,17,1367,4.5,6.7,Moyen,Gratuit,Oui
C0162,52.0,Comédie,12.21,15,1479,,5.4,Moyen,Premium,Non
C0163,27.0,Horreur,52.61,12,1341,3.4,6.1,Moyen,Standard,Oui
C0164,67.0,Romance,18.41,21,2079,1.9,2.0,Moyen,Premium,Oui
C0165,31.0,Comédie,91.87,24,3308,3.5,11.1,Moyen,Standard,Oui
C0166,33.0,Science-Fiction,56.25,18,2543,2.5,1.7,Moyen,Standard,Non
C0167,34.0,Science-Fiction,36.28,16,1813,3.7,8.4,Moyen,Gratuit,Non
C0168,51.0,Comédie,24.65,12,1208,3.8,7.7,Moyen,Gratuit,Oui
C0169,54.0,Action,122.5,14,1625,4.4,1.1,Moyen,Gratuit,Oui
C0170,,Comédie,15.71,13,1077,4.2,4.0,Moyen,Gratuit,Oui
C0171,26.0,Horreur,74.7,14,1445,4.1,2.3,Moyen,Standard,Oui
C0172,67.0,Science-Fiction,53.81,15,1439,3.2,7.9,Moyen,Standard,Oui
C0173,23.0,Science-Fiction,54.05,9,843,3.7,8.6,Faible,Standard,Oui
C0174,54.0,Science-Fiction,76.84,16,1745,4.2,3.2,Moyen,Premium,Oui
C0175,36.0,Romance,15.1,7,662,,10.3,Faible,Premium,Non
C0176,42.0,Action,6.75,17,2527,4.3,12.9,Moyen,Premium,Oui
C0177,16.0,Horreur,46.75,14,1885,4.2,10.7,Moyen,Standard,Oui
C0178,42.0,Comédie,34.92,13,1854,,12.6,Moyen,Gratuit,Non
C0179,15.0,Horreur,9.51,10,1111,3.7,25.4,Moyen,Gratuit,Oui
C0180,15.0,Comédie,47.56,25,2393,4.0,5.1,Moyen,Standard,Oui
C0181,59.0,Comédie,53.36,19,1792,2.2,3.0,Moyen,Premium,Oui
C0182,18.0,Drame,77.85,14,1761,4.6,4.9,Moyen,Gratuit,Oui
C0183,,Romance,24.69,8,752,1.5,3.9,Faible,Premium,Oui
C0184,26.0,Science-Fiction,27.25,14,1297,4.7,9.2,Moyen,Premium,Oui
C0185,35.0,Drame,72.01,16,1819,4.8,6.0,Moyen,Gratuit,Oui
C0186,39.0,Action,49.13,15,1965,2.5,9.2,Moyen,Gratuit,Oui
C0187,66.0,Action,61.91,16,2160,2.8,1.1,Moyen,Premium,Oui
C0188,28.0,Science-Fiction,109.38,16,1820,4.9,7.3,Moyen,Premium,Oui
C0189,39.0,Science-Fiction,33.59,20,2038,4.5,21.1,Moyen,Standard,Oui
C0190,47.0,Romance,24.74,15,1459,1.8,3.0,Moyen,Standard,Oui
C0191,53.0,Horreur,10.0,20,2055,4.7,1.1,Moyen,Standard,Non
C0192,72.0,Romance,42.94,16,1858,3.7,5.0,Moyen,Standard,Oui
C0193,41.0,Romance,9.92,18,2137,4.0,3.3,Moyen,Standard,Oui
C0194,20.0,Science-Fiction,29.99,17,2106,4.8,4.9,Moyen,Premium,Oui
C0195,60.0,Romance,13.51,10,1103,3.0,7.4,Moyen,Gratuit,Oui
C0196,71.0,Comédie,43.49,13,1265,,4.1,Moyen,Standard,Non
C0197,32.0,Comédie,50.25,16,1725,2.4,23.0,Moyen,Gratuit,Non
C0198,75.0,Action,23.61,16,2158,3.3,8.7,Moyen,Standard,Oui
C0199,21.0,Romance,710.03,13,14087,1.9,4.6,Moyen,Premium,Non
C0200,17.0,Science-Fiction,82.35,15,1979,4.6,9.8,Moyen,Gratuit,Oui
C0201,60.0,Comédie,17.67,14,1986,3.1,3.7,Moyen,Gratuit,Oui
C0202,37.0,Romance,12.34,15,1758,2.5,4.9,Moyen,Gratuit,Oui
C0203,65.0,Comédie,13.99,14,1382,4.1,5.2,Moyen,Premium,Oui
C0204,47.0,Comédie,39.04,12,1443,,15.5,Moyen,Standard,Non
C0205,53.0,Comédie,41.45,19,2415,4.6,2.3,Moyen,Standard,Oui
C0206,23.0,Action,23.52,12,1406,4.4,3.6,Moyen,Standard,Oui
C0207,71.0,Drame,9.35,21,2342,5.0,2.3,Moyen,Premium,Oui
C0208,17.0,Drame,31.13,14,2030,4.4,10.2,Moyen,Gratuit,Oui
C0209,70.0,Action,85.83,14,1134,4.0,3.4,Moyen,Standard,Oui
C0210,72.0,Drame,2.64,21,2131,4.0,3.4,Moyen,Standard,Oui
C0211,16.0,Science-Fiction,44.12,11,1618,3.4,4.8,Moyen,Standard,Oui
C0212,44.0,Science-Fiction,94.53,18,2418,3.1,21.5,Moyen,Premium,Oui
C0213,47.0,Action,20.83,20,2697,2.2,4.6,Moyen,Standard,Oui
C0214,32.0,Drame,7.07,20,14658,2.6,2.9,Moyen,Premium,Non
C0215,68.0,Science-Fiction,52.11,17,2388,3.5,24.4,Moyen,Premium,Oui
C0216,57.0,Drame,80.77,14,1579,3.2,10.9,Moyen,Standard,Non
C0217,46.0,Comédie,38.83,9,1230,2.2,1.2,Faible,Standard,Non
C0218,64.0,,53.17,18,2650,3.2,3.6,Moyen,Gratuit,Oui
C0219,50.0,Drame,22.69,15,2125,3.8,2.2,Moyen,Premium,Oui
C0220,67.0,Action,29.59,22,2476,1.7,3.0,Moyen,Gratuit,Non
C0221,56.0,Drame,24.12,16,1363,3.4,22.1,Moyen,Gratuit,Oui
C0222,,Drame,82.57,13,1363,1.7,2.2,Moyen,Premium,Oui
C0223,38.0,Romance,50.43,11,990,2.5,4.3,Moyen,Gratuit,Oui
C0224,71.0,Horreur,5.22,19,2553,2.6,4.9,Moyen,Premium,Non
C0225,34.0,,122.63,18,2447,3.9,3.7,Moyen,Standard,Oui
C0226,63.0,Drame,24.18,21,3050,2.5,1.7,Moyen,Premium,Oui
C0227,17.0,Comédie,83.25,14,2040,2.7,7.5,Moyen,Standard,Oui
C0228,55.0,Horreur,108.85,13,1761,4.1,1.8,Moyen,Standard,Oui
C0229,72.0,Drame,14.53,22,2931,3.2,3.8,Moyen,Standard,Non
C0230,43.0,Comédie,18.89,12,1476,3.3,4.5,Moyen,Gratuit,Oui
C0231,66.0,Action,17.02,16,1491,3.9,5.7,Moyen,Gratuit,Oui
C0232,45.0,Comédie,54.63,23,1870,3.3,8.5,Moyen,Gratuit,Oui
C0233,,Drame,99.29,13,1500,4.7,3.1,Moyen,Standard,Oui
C0234,50.0,Romance,69.63,11,948,3.4,21.9,Moyen,Premium,Oui
C0235,41.0,Science-Fiction,19.31,12,1720,2.5,2.0,Moyen,Gratuit,Oui
C0236,63.0,,3.8,15,2140,2.6,6.9,Moyen,Gratuit,Oui
C0237,72.0,Science-Fiction,43.29,13,1582,2.1,1.6,Moyen,Standard,Non
C0238,61.0,,20.67,21,2283,4.8,1.4,Moyen,Gratuit,Oui
C0239,67.0,Drame,89.82,18,1657,2.5,14.9,Moyen,Premium,Non
C0240,45.0,Comédie,51.42,18,2213,3.5,3.2,Moyen,Premium,Oui
C0241,59.0,Romance,12.53,16,1527,4.3,9.7,Moyen,Gratuit,Oui
C0242,49.0,,19.45,15,1527,3.8,5.8,Moyen,Gratuit,Non
C0243,21.0,Drame,35.34,13,1082,3.0,12.5,Moyen,Premium,Oui
C0244,20.0,Romance,28.9,13,19072,2.3,4.7,Moyen,Standard,Oui
C0245,29.0,Action,2.43,13,1079,2.9,3.9,Moyen,Premium,Oui
C0246,,Horreur,18.97,22,2505,2.6,5.3,Moyen,Gratuit,Oui
C0247,25.0,Science-Fiction,17.94,20,2135,3.1,8.6,Moyen,Premium,Oui
C0248,32.0,Action,18.94,22,3172,2.0,5.2,Moyen,Standard,Non
C0249,60.0,Action,22.81,13,1317,2.5,2.6,Moyen,Gratuit,Non
C0250,30.0,Comédie,14.29,24,2336,2.8,5.2,Moyen,Gratuit,Oui
C0251,29.0,Romance,28.81,12,1033,2.2,1.3,Moyen,Standard,Oui
C0252,28.0,Horreur,16.09,19,2255,2.2,2.8,Moyen,Premium,Oui
C0253,50.0,Comédie,30.9,12,1704,2.5,2.3,Moyen,Standard,Oui
C0254,71.0,Science-Fiction,23.71,18,1484,1.6,3.9,Moyen,Standard,Oui
C0255,45.0,Action,24.73,17,2127,,3.8,Moyen,Gratuit,Non
C0256,21.0,,88.89,13,1270,1.9,1.7,Moyen,Premium,Oui
C0257,26.0,Drame,95.27,15,1437,2.3,5.9,Moyen,Standard,Oui
C0258,30.0,Action,63.07,19,2755,3.1,1.1,Moyen,Gratuit,Oui
C0259,,Action,31.83,20,2428,1.6,3.3,Moyen,Standard,Non
C0260,48.0,Science-Fiction,104.16,17,2091,2.4,8.1,Moyen,Gratuit,Non
C0261,65.0,Romance,73.37,14,1934,3.8,1.5,Moyen,Standard,Oui
C0262,29.0,Horreur,10.41,13,1814,3.5,4.6,Moyen,Gratuit,Oui
C0263,59.0,Drame,26.55,15,2245,4.3,3.0,Moyen,Gratuit,Oui
C0264,20.0,Drame,19.77,18,1763,3.0,27.2,Moyen,Gratuit,Non
C0265,71.0,Science-Fiction,19.47,17,1714,4.2,6.3,Moyen,Premium,Non
C0266,69.0,Comédie,55.02,16,1950,2.0,19.9,Moyen,Standard,Oui
C0267,21.0,Horreur,66.83,24,3472,4.4,2.8,Moyen,Premium,Oui
C0268,21.0,Drame,56.66,20,2083,3.1,1.4,Moyen,Gratuit,Oui
C0269,17.0,Romance,29.94,17,1901,4.1,1.7,Moyen,Gratuit,Oui
C0270,62.0,Romance,68.89,11,16199,2.3,1.2,Moyen,Gratuit,Oui
C0271,38.0,Comédie,61.64,12,1690,3.7,4.7,Moyen,Gratuit,Oui
C0272,44.0,Drame,98.97,14,1784,5.0,3.0,Moyen,Gratuit,Oui
C0273,33.0,Romance,27.91,25,2150,2.5,1.7,Moyen,Standard,Oui
C0274,68.0,Drame,119.03,12,1182,1.7,2.2,Moyen,Premium,Oui
C0275,35.0,Romance,27.66,13,1380,1.5,1.8,Moyen,Standard,Oui
C0276,26.0,Horreur,32.29,13,1046,,5.0,Moyen,Standard,Non
C0277,28.0,Action,51.64,16,1939,3.1,14.8,Moyen,Premium,Oui
C0278,28.0,Action,48.79,19,1641,3.9,1.9,Moyen,Gratuit,Oui
C0279,23.0,Science-Fiction,48.94,16,1971,3.6,1.6,Moyen,Gratuit,Oui
C0280,61.0,Drame,34.83,19,2503,1.6,2.1,Moyen,Premium,Oui
C0281,47.0,Drame,41.88,18,1514,4.2,26.6,Moyen,Gratuit,Oui
C0282,40.0,Action,57.96,14,1697,2.7,2.4,Moyen,Standard,Oui
C0283,58.0,Drame,28.82,18,1959,3.3,1.7,Moyen,Standard,Oui
C0284,42.0,Action,6.14,15,1295,1.9,1.7,Moyen,Standard,Oui
C0285,,Science-Fiction,64.71,17,2324,4.1,13.2,Moyen,Standard,Oui
C0286,58.0,Comédie,34.69,17,1457,2.1,4.6,Moyen,Gratuit,Oui
C0287,23.0,Science-Fiction,69.23,21,2654,4.8,30.0,Moyen,Standard,Oui
C0288,62.0,Action,51.49,22,2401,4.7,1.2,Moyen,Standard,Oui
C0289,53.0,Horreur,66.57,15,1965,2.2,4.5,Moyen,Gratuit,Oui
C0290,19.0,Drame,1023.41,14,1764,1.6,8.8,Moyen,Premium,Oui
C0291,32.0,Science-Fiction,18.32,20,1736,2.6,1.3,Moyen,Standard,Oui
C0292,48.0,Drame,74.59,14,1810,3.9,2.5,Moyen,Premium,Oui
C0293,41.0,Romance,10.26,20,2162,2.6,4.2,Moyen,Premium,Non
C0294,61.0,Science-Fiction,46.36,14,1420,1.7,3.2,Moyen,Premium,Oui
C0295,61.0,Comédie,39.32,11,1631,2.8,3.1,Moyen,Standard,Oui
C0296,45.0,Action,39.19,15,1405,3.8,3.7,Moyen,Standard,Oui
C0297,35.0,Romance,20.83,15,1257,3.0,2.2,Moyen,Gratuit,Non
C0298,36.0,Horreur,37.34,15,1566,3.7,7.3,Moyen,Gratuit,Oui
C0299,30.0,Comédie,26.43,15,1666,3.3,10.9,Moyen,Premium,Oui
C0300,72.0,Comédie,16.44,10,804,2.3,9.5,Moyen,Gratuit,Non
C0301,,Action,59.43,12,1148,3.0,20.0,Moyen,Premium,Oui
C0302,15.0,Comédie,13.01,20,1773,4.7,2.1,Moyen,Premium,Oui
C0303,65.0,Horreur,11.3,21,2811,4.7,9.6,Moyen,Premium,Oui
C0304,29.0,Horreur,10.75,12,1629,3.8,1.8,Moyen,Standard,Oui
C0305,59.0,Comédie,37.62,18,2329,4.4,4.5,Moyen,Standard,Oui
C0306,49.0,Horreur,41.07,9,1120,2.0,5.5,Faible,Premium,Oui
C0307,24.0,Comédie,60.9,17,2208,3.1,4.2,Moyen,Gratuit,Oui
C0308,39.0,Romance,71.11,14,1654,3.4,2.3,Moyen,Premium,Oui
C0309,38.0,Action,39.88,17,1888,1.8,11.5,Moyen,Standard,Oui
C0310,31.0,Action,33.35,17,1954,4.6,1.5,Moyen,Standard,Oui
C0311,63.0,Horreur,29.01,17,1731,4.3,9.9,Moyen,Premium,Oui
C0312,60.0,Horreur,24.67,15,1850,3.8,2.2,Moyen,Gratuit,Oui
C0313,71.0,Drame,32.27,25,3571,4.0,2.5,Moyen,Standard,Oui
C0314,50.0,Comédie,56.79,17,2074,4.2,19.5,Moyen,Standard,Oui
C0315,20.0,Science-Fiction,11.11,20,2262,2.7,11.2,Moyen,Gratuit,Non
C0316,25.0,Drame,42.13,12,1230,4.5,6.5,Moyen,Standard,Non
C0317,26.0,Romance,106.88,20,1844,4.0,12.4,Moyen,Standard,Oui
C0318,24.0,Horreur,82.34,16,1501,2.2,1.4,Moyen,Standard,Oui
C0319,35.0,Science-Fiction,96.17,23,3026,,4.2,Moyen,Gratuit,Non
C0320,,Comédie,74.09,12,1359,4.1,4.1,Moyen,Premium,Oui
C0321,71.0,Comédie,10.97,6,529,,3.9,Faible,Premium,Non
C0322,48.0,Drame,4.74,10,1336,4.9,11.0,Moyen,Standard,Oui
C0323,33.0,Romance,57.94,13,1091,4.7,5.7,Moyen,Standard,Oui
