client_id,age,anciennete_mois,nb_achats,montant_total,panier_moyen,jours_depuis_dernier_achat,nb_pages_vues,taux_conversion,taux_retour
C0043,61.0,28,31,5591.3,180.36,20,208,14.9,4.97
C0044,39.0,14,10,2102.68,210.27,30,102,9.8,4.43
C0045,57.0,3,6,404.25,67.37,119,86,6.98,6.19
C0046,49.0,6,4,215.74,53.94,90,44,9.09,12.64
C0047,38.0,23,15,1522.96,101.53,52,224,6.7,3.96
C0048,46.0,4,2,801.68,400.84,106,18,11.11,9.76
C0049,69.0,15,3,516.59,172.2,139,37,8.11,9.03
C0050,,16,5,885.4,177.08,92,59,8.47,11.1
C0051,25.0,16,11,2098.78,190.8,79,55,20.0,8.96
C0052,66.0,30,33,7192.91,217.97,5,271,12.18,0.94
C0053,25.0,21,2,224.27,112.14,226,19,10.53,19.25
C0054,65.0,12,8,1694.76,211.84,83,56,14.29,8.6
C0055,53.0,9,14,1417.83,101.27,39,187,7.49,4.59
C0056,18.0,17,10,1851.51,185.15,30,117,8.55,5.18
C0057,42.0,10,16,1672.12,104.51,29,137,11.68,6.37
C0058,35.0,16,12,2050.3,170.86,53,114,10.53,5.44
C0059,18.0,20,34,6982.69,205.37,25,373,9.12,0.01
C0060,24.0,36,19,6661.36,350.6,17,162,11.73,0.55
C0061,28.0,7,4,905.46,226.37,99,45,8.89,9.43
C0062,46.0,29,1,78.09,78.09,290,13,7.69,14.01
C0063,55.0,21,1,408.43,408.43,222,6,16.67,12.94
C0064,37.0,10,10,2074.14,207.41,88,68,14.71,8.89
C0065,18.0,8,8,2364.22,295.53,54,45,17.78,4.59
C0066,31.0,11,13,3321.65,255.51,81,136,9.56,6.22
C0067,30.0,20,37,4254.3,114.98,26,494,7.49,4.81
C0068,62.0,16,4,434.55,108.64,185,54,7.41,13.1
C0069,39.0,18,8,1974.68,246.84,38,112,7.14,5.88
C0070,18.0,14,18,4143.21,230.18,17,98,18.37,3.78
C0071,56.0,17,6,502.48,83.75,95,78,7.69,7.11
C0072,56.0,38,27,7271.05,269.3,15,322,8.39,3.97
C0073,30.0,23,4,138.9,34.73,291,23,,12.79
C0074,29.0,47,32,3804.04,118.88,18,303,10.56,2.43
C0075,42.0,44,23,4746.05,206.35,16,311,7.4,4.23
C0076,49.0,13,20,4127.7,206.39,28,216,9.26,0.32
C0077,41.0,13,9,1960.6,217.84,86,127,7.09,9.0
C0078,32.0,9,4,715.01,178.75,82,49,8.16,7.55
C0079,33.0,3,7,765.69,109.38,73,91,7.69,8.81
C0080,31.0,3,7,895.62,127.95,166,62,11.29,13.01
C0081,49.0,15,16,3088.52,193.03,55,228,7.02,5.5
C0082,39.0,21,15,4671.81,311.45,23,130,11.54,4.73
C0083,61.0,31,24,7531.77,313.82,7,180,13.33,
C0084,67.0,19,30,6685.5,222.85,11,435,6.9,1.4
C0085,28.0,15,6,854.13,142.36,95,62,9.68,13.53
C0086,37.0,27,4,74.2,18.55,266,46,8.7,
C0087,18.0,18,4,130.29,32.57,197,52,7.69,14.92
C0088,48.0,15,15,3026.71,201.78,71,133,11.28,9.02
C0089,59.0,8,17,2255.38,132.67,70,189,8.99,9.39
C0090,21.0,37,19,5303.89,279.15,26,119,15.97,4.47
C0091,28.0,15,3,1117.27,372.42,135,40,7.5,6.51
C0092,55.0,22,3,72.15,24.05,289,19,15.79,10.86
C0093,20.0,10,10,2653.43,265.34,47,91,10.99,5.48
C0094,38.0,22,12,1084.17,90.35,38,137,8.76,5.5
C0095,53.0,15,7,735.15,105.02,81,53,13.21,11.71
C0096,38.0,11,4,759.41,189.85,165,59,6.78,5.06
C0097,24.0,29,1,460.38,460.38,271,10,10.0,18.99
C0098,65.0,27,4,105.12,26.28,235,33,12.12,14.25
C0099,40.0,12,24,7745.73,322.74,4,209,11.48,0.23
C0100,19.0,33,1,53.14,53.14,255,6,16.67,24.31
C0101,38.0,12,23,6854.56,298.02,21,195,11.79,1.72
C0102,40.0,16,11,3118.18,283.47,20,156,7.05,4.34
C0103,22.0,28,39,5405.73,138.61,22,535,7.29,0.41
C0104,52.0,38,15,5667.31,377.82,7,224,6.7,2.87
C0105,33.0,14,17,6477.06,381.0,25,191,8.9,2.62
C0106,53.0,15,11,1894.5,172.23,85,77,14.29,9.84
C0107,18.0,8,13,1114.12,85.7,27,126,10.32,4.67
C0108,58.0,28,1,191.17,191.17,185,6,16.67,15.34
C0109,30.0,18,16,1410.0,88.12,33,89,17.98,3.57
C0110,24.0,23,15,2904.77,193.65,66,78,19.23,4.08
C0111,46.0,7,10,1440.24,144.02,45,132,7.58,3.1
C0112,64.0,3,3,333.65,111.22,174,34,8.82,13.22
C0113,40.0,21,30,17075.11495384879,569.1704984616264,28,449,6.68,4.06
C0114,18.0,40,27,4356.75,161.36,21,395,6.84,2.93
C0115,27.0,30,3,277.01,92.34,278,34,8.82,16.41
C0116,36.0,22,34,5538.05,162.88,17,410,8.29,2.65
C0117,47.0,15,7,1088.12,155.45,163,65,10.77,12.36
C0118,46.0,27,4,406.08,101.52,297,49,8.16,19.35
C0119,32.0,17,10,1548.03,154.8,74,124,8.06,6.29
C0120,67.0,20,14,3241.79,231.56,34,199,7.04,4.7
C0121,42.0,22,8,3451.29,431.41,80,97,8.25,9.02
C0122,37.0,11,11,2750.09,250.01,82,108,10.19,3.62
C0123,18.0,14,15,4161.06,277.4,1,154,9.74,1.96
C0124,51.0,21,4,23812.506816818895,5953.126704204724,309,37,10.81,24.48
C0125,27.0,8,9,1052.15,116.91,41,93,9.68,5.33
C0126,51.0,11,14,1998.29,142.73,24,177,7.91,8.16
C0127,32.0,12,6,813.97,135.66,124,71,8.45,6.38
C0128,40.0,18,39,3567.37,91.47,23,466,8.37,2.71
C0129,29.0,16,9,2625.5,291.72,50,115,7.83,3.43
C0130,50.0,27,2,98.62,49.31,205,15,13.33,14.47
C0131,,33,1,484.95,484.95,183,12,8.33,15.94
C0132,38.0,16,17,3099.91,182.35,31,119,14.29,8.22
C0133,18.0,44,16,3413.74,213.36,18,106,15.09,2.76
C0134,18.0,29,1,340.51,340.51,180,10,10.0,14.96
C0135,31.0,20,10,2100.5,210.05,74,73,13.7,8.15
C0136,,6,4,270.0,67.5,137,22,18.18,8.73
C0137,51.0,33,2,137.42,68.71,260,25,8.0,17.55
C0138,41.0,14,12,2635.44,219.62,56,115,10.43,6.96
C0139,41.0,3,6,861.83,143.64,163,56,10.71,6.28
C0140,25.0,9,13,2327.34,179.03,73,159,8.18,4.87
C0141,39.0,10,13,1076.63,82.82,26,177,7.34,6.24
C0142,21.0,14,2,269.8,134.9,81,22,9.09,6.56
C0143,40.0,4,5,410.03,82.01,60,45,11.11,12.64
C0144,31.0,17,14,2134.47,152.46,30,131,10.69,9.19
C0145,39.0,15,31,19321.162368019293,623.2633021941707,8,286,10.84,3.78
C0146,54.0,8,4,805.48,201.37,157,30,13.33,9.83
C0147,53.0,33,39,6687.03,171.46,28,320,12.19,0.1
C0148,51.0,10,15,2267.63,151.18,20,129,11.63,3.23
C0149,25.0,14,3,193.24,64.41,336,32,,22.89
C0150,56.0,6,5,231.74,46.35,99,70,7.14,7.31
C0151,42.0,16,5,365.9,73.18,162,28,17.86,10.0
C0152,61.0,36,38,7162.21,188.48,6,567,6.7,0.0
C0153,18.0,32,4,228.54,57.13,309,46,8.7,11.1
C0154,47.0,19,4,392.98,98.24,356,49,8.16,14.68
C0155,50.0,8,5,350.61,70.12,67,37,13.51,5.31
C0156,35.0,12,4,948.16,237.04,123,52,7.69,14.38
C0157,37.0,35,2,464.24,232.12,301,22,9.09,10.74
C0158,52.0,21,1,103.61,103.61,183,5,20.0,13.63
C0159,55.0,10,6,912.78,152.13,75,48,12.5,7.02
C0160,41.0,25,1,309.64,309.64,331,10,10.0,22.05
C0161,43.0,19,11,1337.92,121.63,87,140,7.86,3.56
C0162,32.0,3,5,235.93,47.19,141,26,19.23,5.51
C0163,57.0,9,17,2068.72,121.69,46,100,17.0,7.81
C0164,25.0,20,17,2748.29,161.66,47,248,6.85,3.13
C0165,70.0,23,14,2257.71,161.26,81,185,7.57,6.18
C0166,63.0,44,19,7871.97,414.31,27,196,9.69,3.49
C0167,28.0,36,19,3091.95,162.73,18,249,7.63,2.65
C0168,36.0,14,11,1961.28,178.3,64,83,13.25,9.8
C0169,37.0,22,11,3016.47,274.22,54,67,16.42,4.4
C0170,50.0,10,12,1979.56,164.96,72,60,20.0,8.36
C0171,25.0,19,12,1172.4,97.7,49,93,12.9,3.25
C0172,41.0,12,2,371.49,185.74,295,20,10.0,16.11
C0173,53.0,31,32,6317.69,197.43,7,306,10.46,4.88
C0174,29.0,20,16,1905.67,119.1,70,152,10.53,9.26
C0175,,17,11,3183.56,289.41,53,127,8.66,8.55
C0176,18.0,22,3,414.47,138.16,231,25,12.0,20.95
C0177,75.0,13,38,6293.47,165.62,4,548,6.93,3.08
C0178,44.0,33,1,149.68,149.68,213,8,12.5,15.54
C0179,42.0,7,5,1017.31,203.46,128,34,14.71,5.9
C0180,45.0,12,5,1030.95,206.19,145,49,10.2,6.73
C0181,40.0,32,3,406.13,135.38,191,38,7.89,22.43
C0182,66.0,11,6,956.73,159.46,102,38,15.79,11.76
C0183,64.0,18,26,5366.05,206.39,8,182,14.29,0.8
C0184,57.0,16,2,469.74,234.87,195,21,9.52,14.99
C0185,18.0,15,4,492.81,123.2,333,47,8.51,21.35
C0186,65.0,46,38,6675.36,175.67,21,398,9.55,4.84
C0187,32.0,17,2,1135.48,567.74,131,19,10.53,14.39
C0188,34.0,4,2,329.17,164.59,144,10,20.0,12.8
C0189,59.0,23,10,3377.32,337.73,36,75,13.33,8.51
C0190,18.0,5,2,513.05,256.53,125,28,7.14,13.86
C0191,58.0,10,10,1129.75,112.98,87,72,13.89,9.77
C0192,27.0,21,14,2190.84,156.49,34,98,14.29,
C0193,32.0,13,17,1843.07,108.42,51,98,17.35,4.92
C0194,36.0,7,3,526.79,175.6,172,22,13.64,5.83
C0195,45.0,10,2,436.93,218.47,152,26,,13.56
C0196,54.0,16,34,5737.23,168.74,1,304,11.18,3.92
C0197,39.0,33,4,151.58,37.89,251,32,12.5,11.42
C0198,55.0,27,22,5828.66,264.94,13,224,9.82,3.67
C0199,48.0,25,1,426.44,426.44,345,11,9.09,22.87
C0200,36.0,14,2,375.49,187.75,142,20,10.0,12.36
C0201,30.0,23,16,3343.47,208.97,48,97,16.49,8.1
C0202,45.0,32,24,6452.8,268.87,17,250,9.6,0.93
C0203,34.0,30,32,7459.48,233.11,2,187,17.11,0.41
C0204,18.0,12,6,894.64,149.11,72,79,7.59,11.55
C0205,20.0,35,31,5935.34,191.46,27,198,15.66,2.26
C0206,35.0,39,27,3971.37,147.09,8,349,7.74,3.51
C0207,42.0,47,22,4871.35,221.43,1,162,13.58,4.4
C0208,24.0,26,4,84.54,21.14,242,45,8.89,20.06
C0209,18.0,22,17,1733.72,101.98,28,133,12.78,8.72
C0210,31.0,13,16,1927.35,120.46,66,237,6.75,8.65
C0211,37.0,25,3,423.12,141.04,259,26,11.54,24.72
C0212,18.0,25,31,3182.75,102.67,16,175,17.71,2.82
C0213,45.0,38,36,7052.77,195.91,15,393,9.16,0.75
C0214,50.0,24,37,5309.71,143.51,2,508,7.28,0.11
C0215,18.0,13,38,5697.46,149.93,29,470,8.09,3.31
C0216,58.0,22,34,6225.86,183.11,20,305,11.15,4.7
C0217,43.0,12,15,1397.56,93.17,34,144,10.42,8.0
C0218,59.0,27,17,7754.32,456.14,12,209,8.13,0.16
C0219,43.0,12,17,1463.07,86.06,75,167,10.18,9.74
C0220,31.0,35,4,319.99,80.0,262,32,12.5,23.13
C0221,56.0,15,3,147.97,49.32,351,39,7.69,12.92
C0222,63.0,15,33,5266.44,159.59,2,323,10.22,
C0223,25.0,25,1,202.69,202.69,343,5,20.0,12.49
C0224,39.0,12,17,2404.98,141.47,40,154,11.04,
C0225,40.0,27,33,6263.73,189.81,15,430,7.67,
C0226,44.0,3,6,712.73,118.79,86,65,9.23,5.09
C0227,31.0,25,35,4154.47,118.7,28,217,16.13,2.2
C0228,28.0,33,3,475.59,158.53,238,44,6.82,22.05
C0229,37.0,12,4,248.03,62.01,233,40,10.0,10.2
C0230,18.0,39,22,3587.63,163.07,9,259,8.49,3.72
C0231,18.0,6,7,951.68,135.95,104,90,7.78,13.71
C0232,33.0,10,11,2005.82,182.35,23,134,8.21,6.57
C0233,58.0,34,34,7872.74,231.55,12,465,7.31,0.7
C0234,55.0,10,15,2529.85,168.66,38,89,,4.06
C0235,42.0,16,11,2519.76,229.07,67,137,8.03,6.85
C0236,,11,12,1891.83,157.65,56,144,8.33,8.47
C0237,29.0,3,5,1178.53,235.71,62,63,7.94,6.19
C0238,49.0,20,11,3158.87,287.17,74,86,12.79,5.63
C0239,29.0,37,39,5491.84,140.82,6,316,12.34,0.17
C0240,48.0,8,12,3416.04,284.67,87,129,9.3,5.43
C0241,34.0,14,9,2586.06,287.34,32,118,7.63,5.92
C0242,51.0,12,7,294.33,42.05,67,75,9.33,7.49
C0243,52.0,25,4,496.46,124.12,231,30,13.33,22.94
C0244,46.0,9,8,3400.34,425.04,85,71,11.27,9.77
C0245,45.0,13,32,6075.04,189.84,22,241,,1.79
C0246,71.0,12,2,628.94,314.47,78,18,11.11,11.79
C0247,44.0,37,20,7875.34,393.77,24,264,7.58,3.61
C0248,24.0,14,16,1031.01,64.44,71,175,9.14,5.11
C0249,24.0,23,31,7335.99,236.64,27,364,8.52,4.0
C0250,58.0,19,8,1290.92,161.36,64,110,7.27,5.66
C0251,40.0,14,2,1120.77,560.38,65,16,12.5,13.0
C0252,33.0,6,3,393.44,131.15,121,25,12.0,14.76
C0253,57.0,11,12,2667.43,222.29,81,179,,7.6
C0254,78.0,7,11,2838.38,258.03,39,114,9.65,6.53
C0255,32.0,15,7,409.06,58.44,76,60,11.67,13.35
C0256,33.0,6,16,1894.5,118.41,22,164,9.76,9.16
C0257,72.0,22,15,4197.81,279.85,2,142,10.56,2.65
C0258,38.0,14,2,295.56,147.78,269,19,10.53,18.95
C0259,18.0,22,8,1672.4,209.05,57,60,13.33,3.5
C0260,68.0,16,15,2329.0,155.27,78,206,7.28,6.55
C0261,36.0,16,22,7673.07,348.78,1,272,8.09,4.77
C0262,35.0,20,9,1276.87,141.87,79,87,10.34,5.2
C0263,55.0,29,4,376.42,94.1,330,32,12.5,19.18
C0264,67.0,4,4,1185.17,296.29,91,36,11.11,11.19
C0265,45.0,5,4,327.39,81.85,177,38,10.53,12.92
C0266,32.0,6,16,2088.76,130.55,41,208,7.69,8.17
C0267,50.0,7,15,1284.89,85.66,32,187,8.02,7.08
C0268,53.0,39,18,7714.27,428.57,7,119,15.13,1.45
C0269,40.0,7,3,746.7,248.9,172,21,14.29,5.45
C0270,27.0,12,2,66.96,33.48,250,29,6.9,17.25
C0271,38.0,32,31,7191.64,231.99,2,196,15.82,0.18
C0272,18.0,35,31,6658.24,214.78,4,395,7.85,1.86
C0273,36.0,7,3,1114.73,371.58,67,30,10.0,5.68
C0274,44.0,6,10,1376.69,137.67,63,104,9.62,8.13
C0275,47.0,14,13,2951.83,227.06,82,113,11.5,6.56
C0276,47.0,47,22,4226.43,192.11,27,265,8.3,4.34
C0277,34.0,4,3,481.92,160.64,157,36,8.33,9.58
C0278,45.0,11,5,1081.56,216.31,113,51,9.8,12.23
C0279,45.0,18,9,1856.63,206.29,57,47,19.15,3.98
C0280,18.0,23,13,1272.23,97.86,87,194,6.7,9.66
C0281,52.0,8,7,1165.02,166.43,138,66,10.61,10.64
C0282,24.0,22,15,2967.43,197.83,57,143,10.49,8.64
C0283,26.0,11,14,3417.82,244.13,82,87,16.09,6.4
C0284,52.0,19,14,22621.875111940823,1615.8482222814873,49,169,8.28,5.28
C0285,21.0,9,4,422.36,105.59,132,32,12.5,7.12
C0286,30.0,20,23,7474.61,324.98,5,316,7.28,0.46
C0287,18.0,33,2,352.51,176.26,212,25,8.0,12.24
C0288,68.0,11,8,1210.98,151.37,81,67,11.94,6.91
C0289,47.0,26,17,6481.44,381.26,8,153,11.11,2.21
C0290,57.0,18,12,3235.48,269.62,22,104,11.54,5.81
C0291,49.0,6,6,1014.94,169.16,63,88,6.82,9.62
C0292,47.0,17,3,124.08,41.36,259,22,13.64,12.98
C0293,60.0,43,39,4874.35,124.98,17,401,9.73,0.41
C0294,32.0,13,3,781.2,260.4,82,23,13.04,5.01
C0295,47.0,18,13,2180.7,167.75,75,168,7.74,
C0296,39.0,17,24,4418.88,184.12,6,265,9.06,4.5
C0297,57.0,19,23,4025.01,175.0,3,285,8.07,0.33
C0298,64.0,22,17,2403.71,141.39,23,167,10.18,3.37
C0299,18.0,34,19,7900.16,415.8,21,134,14.18,1.74
C0300,63.0,10,13,1042.37,80.18,78,112,11.61,5.68
C0301,50.0,45,20,6040.44,302.02,18,187,10.7,1.96
C0302,45.0,13,5,769.48,153.9,146,71,7.04,14.28
C0303,26.0,26,3,81.91,27.3,206,33,9.09,20.19
C0304,50.0,12,1,104.16,104.16,289,12,8.33,23.14
C0305,35.0,4,4,342.26,85.56,115,30,13.33,9.43
C0306,73.0,12,2,695.7,347.85,120,12,16.67,8.37
C0307,55.0,17,7,467.6,66.8,177,102,6.86,7.2
C0308,50.0,19,29,3826.33,131.94,25,368,7.88,4.93
C0309,25.0,18,16,1097.32,68.58,84,218,7.34,4.23
C0310,30.0,47,32,7335.36,229.23,13,161,19.88,0.41
C0311,53.0,46,31,7243.35,233.66,9,266,11.65,3.51
C0312,31.0,31,38,4358.43,114.7,25,348,10.92,3.84
C0313,27.0,20,3,209.67,69.89,229,35,8.57,10.65
C0314,35.0,9,2,997.21,498.61,165,17,11.76,5.84
C0315,21.0,21,13,2088.77,160.67,44,132,9.85,8.41
C0316,53.0,37,19,6676.06,351.37,2,165,11.52,2.04
C0317,57.0,4,5,1139.93,227.99,73,47,10.64,5.53
C0318,27.0,17,2,1197.24,598.62,143,23,8.7,7.16
C0319,34.0,36,17,7778.26,457.54,12,140,12.14,0.18
C0320,39.0,30,2,473.47,236.74,352,27,,11.73
C0321,61.0,13,1,286.74,286.74,241,7,14.29,22.36
C0322,18.0,9,16,2384.51,149.03,86,151,10.6,5.78
C0323,45.0,27,1,138.51,138.51,349,14,7.14,18.47
C0324,28.0,9,4,1185.3,296.33,99,20,20.0,6.14
C0325,38.0,20,15,6608.65,440.58,23,149,10.07,3.85
C0326,63.0,26,31,5623.87,181.42,10,456,6.8,0.23
C0327,49.0,20,11,2848.24,258.93,53,130,8.46,5.28
C0328,22.0,7,11,2771.86,251.99,33,80,13.75,3.82
C0329,59.0,6,2,863.52,431.76,85,27,7.41,12.17
C0330,61.0,7,8,1951.72,243.97,50,41,19.51,8.28
C0331,21.0,6,11,3345.76,304.16,36,141,7.8,8.36
C0332,28.0,12,7,597.45,85.35,161,86,8.14,12.43
C0333,49.0,16,14,1352.01,96.57,45,114,12.28,8.93
C0334,20.0,13,3,1042.02,347.34,98,27,11.11,11.31
C0335,25.0,19,3,348.16,116.05,258,35,8.57,19.95
C0336,40.0,11,11,1691.1,153.74,74,76,14.47,7.5
C0337,50.0,13,5,386.91,77.38,71,40,12.5,7.88
C0338,53.0,27,22,5852.22,266.01,28,181,12.15,0.23
C0339,18.0,13,8,3079.66,384.96,79,58,13.79,8.6
C0340,39.0,28,29,3841.46,132.46,24,250,,3.52
C0341,37.0,6,11,1674.37,152.22,21,80,,3.86
C0342,37.0,16,7,1003.8,143.4,128,89,7.87,9.78
C0343,34.0,25,1,76.6,76.6,313,14,7.14,20.26
C0344,53.0,15,4,382.18,95.54,199,44,9.09,20.92
C0345,51.0,11,5,511.91,102.38,132,45,11.11,7.3
C0346,37.0,13,13,1566.83,120.53,81,191,6.81,5.66
C0347,28.0,15,1,228.34,228.34,336,6,16.67,12.15
C0348,39.0,6,17,2939.51,172.91,21,235,7.23,6.74
C0349,25.0,18,10,2452.33,245.23,55,89,11.24,8.02
C0350,53.0,15,37,5923.83,160.1,11,422,8.77,0.69
C0351,57.0,11,4,367.36,91.84,64,45,8.89,5.54
C0352,44.0,16,11,2594.69,235.88,21,146,7.53,6.71
C0353,33.0,6,4,526.25,131.56,67,20,20.0,7.2
C0354,35.0,9,11,2936.58,266.96,60,107,10.28,9.72
C0355,27.0,13,37,3025.73,81.78,11,521,7.1,1.14
C0356,48.0,7,6,285.06,47.51,84,69,8.7,8.84
C0357,45.0,16,14,2801.64,200.12,31,109,12.84,6.48
C0358,19.0,44,36,22829.236142575723,634.1454484048812,15,228,15.79,4.77
C0359,35.0,47,27,3215.8,119.1,21,384,7.03,0.22
C0360,34.0,3,6,1017.13,169.52,156,33,18.18,14.67
C0361,39.0,32,1,176.27,176.27,362,14,7.14,21.74
C0362,37.0,22,12,3062.83,255.24,53,114,10.53,5.7
C0363,18.0,20,23,6807.55,295.98,12,307,7.49,4.33
C0364,45.0,12,6,15832.576580506322,2638.76276341772,153,73,8.22,13.69
C0365,29.0,29,32,7736.49,241.77,17,386,8.29,3.85
C0366,60.0,11,14,2834.04,202.43,24,128,10.94,3.08
C0367,26.0,20,11,3336.09,303.28,38,108,10.19,3.71
C0368,25.0,45,30,5400.23,180.01,23,336,8.93,3.78
C0369,63.0,18,1,204.17,204.17,258,11,9.09,19.43
C0370,52.0,26,21,6568.91,312.81,19,218,9.63,3.12
C0371,29.0,29,29,4439.65,153.09,11,315,9.21,0.77
C0372,46.0,16,3,259.78,86.59,332,38,7.89,20.51
C0373,27.0,16,15,2394.53,159.64,42,101,14.85,7.59
C0374,67.0,22,11,3057.94,277.99,26,74,14.86,7.77
C0375,36.0,22,21,6982.71,332.51,15,230,9.13,3.66
C0376,38.0,21,2,468.57,234.29,287,20,,11.39
C0377,40.0,13,6,420.09,70.01,155,63,9.52,13.79
C0378,18.0,32,2,316.27,158.14,315,19,10.53,14.93
C0379,20.0,6,3,803.64,267.88,98,42,7.14,6.72
C0380,70.0,18,8,23677.231528050925,2959.6539410063656,64,98,8.16,4.05
C0381,38.0,9,5,607.72,121.54,155,27,18.52,11.8
C0382,65.0,19,33,6325.99,191.7,26,269,12.27,4.54
C0383,30.0,7,16,3166.1,197.88,67,94,17.02,8.27
C0384,40.0,23,4,470.66,117.66,350,52,7.69,10.22
C0385,38.0,11,17,1368.26,80.49,24,124,13.71,6.48
C0386,18.0,18,16,3376.15,211.01,88,170,9.41,8.03
C0387,34.0,23,12,3110.89,259.24,74,75,16.0,4.04
C0388,66.0,17,9,2660.47,295.61,76,86,10.47,7.68
C0389,42.0,11,2,1140.42,570.21,149,19,10.53,6.95
C0390,30.0,46,17,5951.47,350.09,12,143,11.89,4.15
C0391,41.0,11,4,348.22,87.05,121,54,7.41,10.4
C0392,27.0,31,1,184.22,184.22,275,14,7.14,18.74
C0393,45.0,25,4,154.08,38.52,306,32,12.5,11.8
C0394,36.0,4,5,1073.02,214.6,163,69,7.25,11.57
C0395,59.0,8,13,2135.0,164.23,23,191,6.81,4.17
C0396,34.0,9,10,1186.57,118.66,47,60,16.67,5.12
C0397,51.0,13,5,924.6,184.92,137,34,14.71,14.15
C0398,60.0,8,11,1333.7,121.25,23,154,7.14,3.35
C0399,32.0,23,15,3437.09,229.14,35,142,10.56,8.32
C0400,68.0,6,2,20688.12736433873,10344.063682169364,74,17,11.76,10.07
C0401,40.0,16,36,4251.26,118.09,10,309,11.65,4.11
C0402,38.0,12,12,2578.27,214.86,39,136,8.82,8.52
C0403,63.0,11,12,3088.7,257.39,56,97,12.37,9.69
C0404,49.0,15,4,1197.63,299.41,94,32,12.5,10.71
C0405,34.0,7,10,1865.25,186.52,39,143,6.99,7.01
C0406,22.0,26,16,4065.52,254.1,17,138,11.59,3.26
C0407,33.0,35,4,201.77,50.44,249,29,13.79,19.21
C0408,18.0,33,1,86.28,86.28,227,9,11.11,14.79
C0409,50.0,26,38,3560.19,93.69,2,538,7.06,2.88
C0410,20.0,22,24,3116.36,129.85,2,239,10.04,1.3
C0411,18.0,4,5,1014.67,202.93,120,69,7.25,9.38
C0412,51.0,18,11,1378.99,125.36,76,59,18.64,6.24
C0413,34.0,26,17,7476.03,439.77,14,90,18.89,3.75
C0414,64.0,10,3,1084.96,361.65,78,23,13.04,9.94
C0415,50.0,29,4,411.69,102.92,264,32,12.5,24.02
C0416,29.0,11,3,337.09,112.36,138,19,15.79,9.34
C0417,18.0,25,3,22136.073662634713,7378.691220878238,338,27,11.11,11.83
C0418,25.0,24,32,3405.23,106.41,28,446,7.17,0.55
C0419,45.0,8,13,3477.82,267.52,28,91,14.29,9.65
C0420,20.0,8,15,3120.11,208.01,67,139,10.79,3.67
C0421,18.0,4,4,856.73,214.18,166,35,11.43,14.29
C0422,49.0,32,1,204.28,204.28,196,14,7.14,12.43
C0423,39.0,38,20,24517.024063905374,1225.8512031952687,23,128,15.62,0.53
C0424,22.0,34,33,6469.74,196.05,4,362,9.12,3.58
